"ID","时间","分类","二级分类","类型","金额","币种","账户1","账户2","备注","已报销","手续费","优惠券","记账者","账单标记","标签","账单图片","关联账单"
"qj1729433964784163711","2024-10-19 22:19:04","美妆",,"支出","8.49","CNY","榕-建行",,"水乳旅行装","","","","请叫我摸先生",,,,""
"qj1729433311746164738","2024-10-18 22:08:20","崔芳榕专用",,"支出","2480.0","CNY","榕-建行",,"演唱会门票","","","","请叫我摸先生",,,,""
"qj1729433293455141759","2024-10-18 22:07:59","下馆子",,"支出","13.98","CNY","榕-微信零钱",,"外卖","","","","请叫我摸先生",,,,""
"qj1729433632018174246","2024-10-16 22:13:45","下馆子",,"支出","13.0","CNY","榕-微信零钱",,"","","","","请叫我摸先生",,,,""
"qj1729433620192168676","2024-10-15 22:13:26","下馆子",,"支出","65.29","CNY","榕-微信零钱",,"","","","","请叫我摸先生",,,,""
"qj1729433271949197314","2024-10-13 22:07:37","下馆子",,"支出","10.0","CNY","榕-微信零钱",,"午饭","","","","请叫我摸先生",,,,""
"qj1729434092018118134","2024-10-12 22:21:21","早餐",,"支出","18.54","CNY","榕-建行",,"玉米","","","","请叫我摸先生",,,,""
"qj1728702591173112863","2024-10-12 11:09:19","医疗",,"支出","136.89","CNY","榕-建行",,"给老爸开药","","","","请叫我摸先生",,,,""
"qj17286645671445510","2024-10-12 00:36:04","交通",,"退款","50.0","CNY","骅-微信零钱",,"","","","","请叫我摸先生",,,,"qj1728663849184872241"
"qj17286645612545332","2024-10-12 00:35:55","交通",,"退款","50.0","CNY","骅-微信零钱",,"","","","","请叫我摸先生",,,,"qj1728663849184872239"
"qj17286639252943272","2024-10-12 00:25:15","其它",,"退款","9599.0","CNY","骅-支付宝",,"","","","","请叫我摸先生",,,,"qj1728663849184872288"
"qj17287495503393532","2024-10-12 00:12:22","交通",,"退款","8.29","CNY","骅-微信零钱",,"","","","","请叫我摸先生",,,,"qj1728663849184872240"
"qj1728658027907194863","2024-10-11 22:47:07","请客送礼",,"支出","17.57","CNY","榕-花呗",,"给老弟买面","","","","请叫我摸先生",,,,""
"qj1728655358224123241","2024-10-11 22:02:17","股票基金",,"收入","40.59","CNY",,,"","","","","请叫我摸先生",,,,""
"qj1728654995933191498","2024-10-11 21:56:16","交通",,"支出","9.8","CNY","榕-微信零钱",,"玻璃水","","","","请叫我摸先生",,,,""
"qj1728654982164130251","2024-10-11 21:56:14","日用品",,"支出","30.8","CNY","榕-微信零钱",,"","","","","请叫我摸先生",,,,""
"qj1728663849184872232","2024-10-11 21:31:21","日用品",,"支出","16.63","CNY","骅-支付宝",,"六神茗茶植萃沐浴露475ml*2瓶去油舒缓保湿沐浴乳持有留香","","","","请叫我摸先生",,,,""
"qj1728663849184872233","2024-10-11 18:14:47","下馆子",,"支出","19.9","CNY","骅-微信零钱",,"汉堡王","","","","请叫我摸先生",,,,""
"qj1728663849184872234","2024-10-11 17:38:48","日用品",,"支出","16.0","CNY","骅-微信零钱",,"桶装水","","","","请叫我摸先生",,,,""
"qj1728663849184872235","2024-10-11 17:12:28","其它","商业服务","支出","0.21","CNY","骅-支付宝",,"分账-基础软件服务费(4072233204239041901)扣款","","","","请叫我摸先生",,,,""
"qj1728663849184872236","2024-10-11 14:35:08","下馆子",,"支出","9.0","CNY","骅-微信零钱",,"海口龙华百味园老爸茶店","","","","请叫我摸先生",,,,""
"qj1728663849184872237","2024-10-11 10:25:21","买菜",,"支出","6.0","CNY","骅-微信零钱",,"收款方备注:二维码收款","","","","请叫我摸先生",,,,""
